Ticker,Name,EPS:2015:Q1,EPS:2015:Q2,EPS:2015:Q3,EPS:2015:Q4,EPS:2016:Q1,EPS:2016:Q2,EPS:2016:Q3,EPS:2016:Q4,EPS:2017:Q1,EPS:2017:Q2,EPS:2017:Q3,EPS:2017:Q4,EPS:2018:Q1,EPS:2018:Q2,EPS:2018:Q3,EPS:2018:Q4,P/E:2015:Q1,P/E:2015:Q2,P/E:2015:Q3,P/E:2015:Q4,P/E:2016:Q1,P/E:2016:Q2,P/E:2016:Q3,P/E:2016:Q4,P/E:2017:Q1,P/E:2017:Q2,P/E:2017:Q3,P/E:2017:Q4,P/E:2018:Q1,P/E:2018:Q2,P/E:2018:Q3,P/E:2018:Q4,ROIC:2015:Q1,ROIC:2015:Q2,ROIC:2015:Q3,ROIC:2015:Q4,ROIC:2016:Q1,ROIC:2016:Q2,ROIC:2016:Q3,ROIC:2016:Q4,ROIC:2017:Q1,ROIC:2017:Q2,ROIC:2017:Q3,ROIC:2017:Q4,ROIC:2018:Q1,ROIC:2018:Q2,ROIC:2018:Q3,ROIC:2018:Q4,ROE:2015:Q1,ROE:2015:Q2,ROE:2015:Q3,ROE:2015:Q4,ROE:2016:Q1,ROE:2016:Q2,ROE:2016:Q3,ROE:2016:Q4,ROE:2017:Q1,ROE:2017:Q2,ROE:2017:Q3,ROE:2017:Q4,ROE:2018:Q1,ROE:2018:Q2,ROE:2018:Q3,ROE:2018:Q4
CHGT US Equity,CHANGING TECHNOLOGIES INC,0,0,0,-0.004,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.7626,1.4349,3.1698,3.6497,4.5899, , , , 
YES CN Equity,CHAR TECHNOLOGIES LTD,0,0,0,0,-0.01,0,0,-0.007,-0.01,-0.01,-0.01,-0.0245,-0.01,-0.01,-0.01,-0.0114, , , , , , , , , , , , , , , , ,-28.0269,-8.0114,-5.5968,-6.3002,-11.3182,-2.4333,-6.2916,-16.2011,-20.884,-20.717,-26.874,-67.1103,-57.7875,-55.9339,-57.1832,-60.8845,-28.0269,-8.0114,-5.5968,-6.3002,-11.3182,-2.4532,-6.344,0.7612,0.8914,0.803,0.75,0.7243,-58.3996,-56.1177,-59.9898,-70.4273
CMCM US Equity,CHEETAH MOBILE INC - ADR,0.23,0.44,0.21,0.4,0.08,-1.08,0,0.4,0.66,0.5041,1.0001,7.5097,0.4987,1.3967,1.1859,5.529, , ,65.2216,67.2621,80.4218,359.7626, ,391.9484,106.3804,39.764,17.658,7.0477,7.4646,5.2495,5.6734,4.5012,5.6182,4.4691,4.7179,4.8759,3.8985,-28.7404,-27.9915,-25.4533,-24.9479,3.6606,7.1298,9.0303,11.7187,11.8306,10.991,6.9701,6.4629,5.5207,6.2444,6.9614,5.9813,-2.0698,-2.9856,0.2483,-4.1589,-18.1046,-24.5711,-71.1435,35.9791,37.1398,35.8829,24.5504
CHMA US Equity,CHIASMA INC,-2.7719,-5.5147,-0.46,-0.61,-0.71,-1.1,-0.38,-0.32,-0.29,-0.28,-0.28,-0.25,-0.29,-0.36,-0.31,-0.32, , , , , , , , , , , , , , , , , , , ,-40.3322,-50.312,-84.496,-54.38,-52.9663,-48.6751,-35.9006,-36.1229,-36.3891,-39.9512,-47.9141,-54.8281,-66.4095, , , , , , ,-54.5465,0.0236,2.979,2.0205,1.0998,0.6343,-39.6342,-46.8811,-53.5052,-64.7239
CCRC US Equity,CHINA CUSTOMER RELATIONS CEN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.0157,3.2374,4.3508,2.4279,-4.2158, , , , 
COE US Equity,CHINA ONLINE EDUCATION-ADR,-13.5, , , ,-30.9419,-21.9728,-6.15,-7.698,-6.982,-6.932,-7.0548,-7.925,-5.55,-3.6333,-4.4421,-6.9, , , , , , , , , , , , , , , , , , , ,-1129.4429, , , , , , , , , , , , , , , , , , , ,-0.2563,-0.0795,2.4208,2.172,2.1154, , , , 
CDTX US Equity,CIDARA THERAPEUTICS INC,-5.92,-0.59,-0.67,-0.72,-0.71,-0.85,-0.88,-0.88,-0.8,-0.99,-0.73,-0.69,-0.8,-1.13,-0.49,-0.44, , , , , , , , , , , , , , , , , , , ,-51.6274,-46.5576,-39.655,-47.0471,-47.8898,-57.3726,-72.7217,-84.3269,-66.4994,-80.6509,-70.9698,-85.7338,-89.9722, , , , ,-59.1101,-39.4679,-46.7878,-0.2614,0.5108,1.6691,1.4926,-6.2259,-93.1052,-96.3292,-116.8931,-116.6609
CFG US Equity,CITIZENS FINANCIAL GROUP,0.38,0.35,0.4,0.42,0.41,0.46,0.56,0.55,0.61,0.63,0.68,1.35,0.78,0.88,0.92,0.96,15.9159,17.6613,15.0589,16.286,12.9092,11.8465,13.665,18.3824,16.3553,15.6322,15.5156,16.1536,15.0034,12.7623,11.7662,8.3766,3.3339,2.9279,3.2737,3.0615,3.134,3.3159,3.7477,3.829,4.1081,4.2019,4.3745,5.251,5.4291,5.7238,5.8649,5.3747,4.6557,4.0326,4.1773,4.3089,4.2771,4.5431,4.9388,-0.8852,-7.7276,-8.6905,-8.3935,-8.4068,8.6586,9.1248,9.6383,8.4628
CIO US Equity,CITY OFFICE REIT INC,-0.06,-0.15,-0.2,-0.12,-0.56,0.56,-0.08,-0.21,-0.11,0.27,-0.12,-0.09,1.25,-0.07,-0.08,-0.22, , , , , , , , , , , , , , , , ,-0.6124,-0.3363,-0.2688,0.0741,-1.9083,-1.2016,-0.4489,-0.3228,1.3559,1.6426,1.7294,2.0623,2.37,2.4115,2.3465,1.6509,-10.7267,-9.7951,-11.708,-9.0329,-19.2368,0.3168,0.8068,-0.9341,1.621,8.8892,9.071,13.5981,20.7149,16.1414,12.1714,12.8912
CLSD US Equity,CLEARSIDE BIOMEDICAL INC, , , , , ,-0.62,-0.28,-0.45,-0.41,-0.54,-0.72,-0.65,-0.62,-0.65,-0.75,-0.6738, , , , , , , , , , , , , , , , , , , , , , , , , ,-68.3863,-104.2024,-107.8623,-77.0945,-103.8227,-157.2351,-263.1534, , , , , , , ,-1.0896,0.3172,3.603,5.2143,5.7567,-85.1882,-119.2367,-191.842,-367.7939
CEP CN Equity,CLIFFSIDE CAPITAL LTD,0,0,0,-0.0005,0,0,0,0,-0.0096,0,0,0,0.0096,-0.0096,-0.0096, , , , , , , , , , , , , ,8, , , , , , , ,-1.3714,-1.0253,-1.0898,-0.8991,-5.5527,-3.3667,4.3149,13.2816,41.2423,55.6619,78.9636, , , , , ,-1.3714,-1.0253,-1.0898,-1.0985,-9.0208,-5.5729,-7.1012,-10.395,6.1097,0.203,-8.4752, 
CATI US Equity,CLONE ALGO TECHNOLOGIES INC,0,0,-0.01, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1.4177,10.1705,8.639,5.6669,0.3624, , , , 
CNI CN Equity,CLOUD NINE EDUCATION GROUP L, ,-0.1568,-0.1282, ,-0.05,-0.0341,-0.0303,-0.0375,-0.05,-0.0376,-0.05,-0.0494,-0.0195,-0.05,-0.05,0.0588, , , , , , , , , , , , , , , , , , , , , , , , ,-589.9497,-875.7506,-1148.6221, , , , , , , , , , , , ,-1.7055,-1.979,-1.5275,-2.4847,-3.0693, , , , 
CLOW US Equity,CLOUDWEB INC,0,0,0,0.8596,0,-4,-0.02,-0.0452,-0.05,-0.06,-0.01,-0.1273,-2.07,0,0,-0.0012, , , ,41.8799,23.2666, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1.8075,-1.7272,-0.8551,-0.4565,0.0134, , , , 
CLN/H CN Equity,CLUNY CAPITAL CORP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-2.0898,5.7729,12.3923,11.7431,15.2521, , , , 
CMFN US Equity,CM FINANCE INC,0.34,0.59,-0.14,0.34,0.01,-1.13,0.14,0.29,0.31,0.62,0.44,0.35,0.23,0.35,0.3,0.26,15.2205,10.4415,9.7489,9.2197,6.8607,6.2053,5.3157,6.1483,6.6134,7.3298,8.4118,8.7921,8.721,8.2695,8.0633,6.403, ,7.8786,4.701,4.8896,3.3406,-3.8048,-2.7583,-2.924,-1.6993,6.3305,7.7742,8.3454,7.7941,6.5645,5.8064,5.5729, ,11.4296,7.89,7.7717,5.6929,-6.741,-4.8079,-2.3498,-6.7482,-34.187,-45.4678,-48.1184,13.503,11.1016,9.881,9.1519
CNXM US Equity,CNX MIDSTREAM PARTNERS LP,0.24,0.25,0.33,0.38,0.42,0.39,0.4,0.38,0.46,0.44,0.43,0.4,0.4,0.43,0.47,0.6, ,23.5333,9.1944,8.2083,9.0652,11.4079,11.3836,14.8113,14.5741,11.1116,9.1274,9.5532,10.5713,11.4944,11.1471,8.4928, ,14.9039,15.6536,15.947,16.9786,16.5892,16.0764,14.9156,14.1807,15.1152,14.8396,15.4232,15.5454,17.6668,17.9103,18.3001, ,11.2693,22.012,23.0186,25.9078,28.0301,28.571,-2.5148,0.9352,-1.2065,-2.2241,-0.9148,34.8677,31.19,30.823,33.2751
CDRBQ US Equity,CODE REBEL CORP,-0.02,-0.02,-0.04,-0.1955, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-62.0974, , , , , , , , , , , , , , , , , , , ,-2.7453,0,7.4231,11.7376,36.9079, , , , 
COFE US Equity,COFFEESMITHS COLLECTIVE INC,0,0,0,0,0,0,0,0,0,0,0,-0.0026,0,-0.01,-0.01, , , , , , , , , , , , , , , , , , , , , , , , , ,-2.3079,-20.7719,-34.5923,-233.7433,-60.7618,-61.8874,-61.2848, , , , , , , , ,-2.9855,-4.073,-3.5053,-4.197,-3.7941, , , , 
CHRS US Equity,COHERUS BIOSCIENCES INC,-1.22,-1.56,-1.86,-1.35,-1.67,-1.72,1.93,-1.71,-1.54,-1.08,-1.09,-0.84,-0.74,-0.68,-0.87,-0.92, , , , , , , , , , , , , , , , , ,-237.0478,-795.8567,-738.0219,-702.3456,-378.6044,-113.9412,-212.6541,-122.2,-140.6611,-181.5276,-186.1257,-147.2675,-129.7478,-141.4841,-208.9711, , , , , , ,-282.6796,-3.3391,-1.0431,5.8795,9.3184,26.0057, ,-411.262,-570.9662, 
COLL US Equity,COLLEGIUM PHARMACEUTICAL INC,0.34,-0.45,-0.46,-0.46,-0.68,-1.05,-1.13,-1.02,-0.79,-0.72,-0.45,-0.54,-0.57,-0.4,-0.5,0.27, , , , , , , , , , , , , , , , , , , , ,-45.8051,-54.9421,-84.3717,-81.5065,-82.7304,-97.1718,-96.0805,-61.5214,-60.3656,-55.838,-58.3047,-23.1551, , , , , ,-58.7443,-90.7068,-3.3907,-2.652,-2.9686,3.8657,5.0287,-68.6573,-70.0113,-78.5602,-39.9949
CCAQU US Equity,COMMITTED CAPITAL ACQUISITIO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-3.6029,-2.0152,1.4663,4.6594,4.5988, , , , 
CHCT US Equity,COMMUNITY HEALTHCARE TRUST I,0.23,-0.42,-0.01,0.02,0.02,0.04,0.08,0.08,0.07,0.04,0.02,0.08,0.09,0.12,0.1,-0.12, , , , , ,302,137,104.6818,88.5185,94.7778,128.381,133.8095,111.913,96.3548,79.4359,63.5561, , , , ,-0.4705,0.9278,1.6765,2.0137,2.1896,2.3184,2.2585,2.3763,2.6682,3.1012,3.4239,3.4186, , , , ,-1.1378,0.414,1.1211,-4.2171,-0.3742,-0.2142,-0.0146,-0.0333,1.9032,2.7806,2.7644,1.5866
CNCE US Equity,CONCERT PHARMACEUTICALS INC,-0.48,1.89,-0.39,0.03,-0.63,-0.6,-0.51,-0.54,-0.6,-0.58,5.61,-0.26,-0.19,-0.57,-0.74,-0.89, ,37.225,42.6591,19.7604,16.863, , , , , ,3.923,6.4094,5.1023,3.7605, , ,-35.2113,14.2832,14.7832,25.2424,17.7665,-28.8475,-33.901,-47.1941,-52.2465,-50.0212, ,66.948,72.8044,69.7086, ,-30.6761,-39.5472,14.8798,15.18,26.0692,18.2251,-29.0922,-33.7702,-4.2427,-5.992,-8.6873,-1.0616,1.743,72.7294,78.2071,-21.614,-30.7679
CFMS US Equity,CONFORMIS INC,-3.32,-2.51,-0.45,-0.37,-0.37,-0.34,-0.31,-0.37,-0.4,-0.28,-0.29,-0.27,-0.22,-0.24,-0.12,-0.16, , , , , , , , , , , , , , , , , , , ,-55.8794,-65.0097,-78.0573,-43.5055,-48.223,-52.4988,-53.9136,-60.133,-64.6801,-54.1304,-54.9568,-53.2165,-61.9695, , , , , , ,-43.7397,-4.4082,-26.4359,-34.7502,-42.4291,-38.8778,-69.1462,-85.7997,-90.3797,-104.8566
CNFR US Equity,CONIFER HOLDINGS INC,0.0618,0.0088,0.21,-0.3,-0.27,-0.07,-0.19,-0.58,-0.24,-0.14,-2.46,0.03,0.02,-0.13,-0.42,-0.56, , , , , , , , , , , , , , , , , , , , , , ,31.425,40.52,49.5418,51.3226,37.24,27.7099,11.7911,-1.8222,0.8734,-3.1754, , , ,-0.7839,-4.4994,-6.0124,-8.1723,-4.4233,-0.9497,1.1451,0.7767,3.1395,-33.1042,-33.7142,-8.5426,-19.4275
CCR US Equity,CONSOL COAL RESOURCES LP, , ,0.62,0.37,0.11,0.11,0.21,0.41,0.51,0.4,0.07,0.42,0.79,0.69,0.31,0.5925, , , , , ,7.7169,19.5864,21.8388,13.7809,10.0936,11.0642,11.1115,8.2731,7.4754,7.9641,6.9263, , , , ,11.4285,10.5331,7.4967,8.4468,10.413,13.8055,12.1521,12.4988,14.3028,16.5768,17.8376,18.112, , , , ,21.8143,16.6048,10.7247,-4.6085,-3.5687,-3.6198,-3.6506,4.4688,23.1355,27.9499,32.7773,29.8879
CBPX US Equity,CONTINENTAL BUILDING PRODUCT,0.05,0,0.1,0.25,0.3,0.31,0.15,0.32,0.31,0.32,0.29,0.64,0.36,0.59,0.51,0.56,36.4355,41.549,52.6667,43.65,28.549,23.1405,18.9821,19.8151,20.656,19.3536,20.7194,17.6692,17.4859,16.6545,18.1469,12.8776,5.7992,5.0501,4.3643,4.4513,6.2147,8.4156,9.444,9.8192,9.7857,9.8004,10.0005,11.9036,12.0157,13.7574,15.0133,14.28,9.0395,7.3792,5.5699,5.5404,8.9859,13.102,14.0136,-5.1959,-2.9863,11.2756,13.749,14.1747,19.3033,22.1692,24.2325,22.9938
CRBP US Equity,CORBUS PHARMACEUTICALS HOLDI,-0.06,-0.1,-0.06,-0.066,-0.08,-0.11,-0.12,-0.1705,-0.16,-0.15,-0.14,-0.1984,-0.21,-0.21,-0.26,-0.3023, , , , , , , , , , , , , , , , , , , , ,-181.2658,-96.821,-121.8402,-218.0151,-97.7648,-100.0336,-129.2955,-96.6116,-67.3772,-89.9579,-133.0471,-131.3929, , , , ,-183.9879,-96.9111,-121.9124,-5.245,-4.9964,1.4274,3.6662,4.1501,-67.1731,-89.0153,-131.0857,-130.5208
CVRS US Equity,CORINDUS VASCULAR ROBOTICS I,-0.07,-0.07,-0.06,-0.06,-0.06,-0.06,-0.07,-0.08,-0.07,-0.04,-0.04,-0.04,-0.08,-0.06,-0.04,-0.0429, , , , , , , , , , , , , , , , , ,-90.4192,-66.2823,-76.5486,-99.0252,-66.8418,-85.5951,-126.2305,-90.2772,-119.5923,-166.0003,-266.6345,-78.5805,-102.8653,-124.4837,-159.1271, , ,-81.8717,-103.4101,-142.9179,-83.8409,-108.7779,-5.3708,-5.4752,-5.0883,-3.8447, ,-152.0575,-242.1022, , 
CRVS US Equity,CORVUS PHARMACEUTICALS INC, , , , ,-5.39,-0.43,-0.51,-0.55,-0.79,-0.73,-0.62,-0.58,-0.63,-0.4,-0.36,-0.36, , , , , , , , , , , , , , , , , , , , , , , ,-32.3243,-34.3613,-41.1804,-46.7503,-51.6667,-42.7797,-44.5005,-46.8601,-49.9486, , , , , , , ,-5.3809,4.6874,11.975,18.3034,18.5503,-42.2215,-43.5677,-45.4964,-48.1004
ICBK US Equity,COUNTY BANCORP INC,0.44,0.36,0.56,0.48,0.36,0.31,0.46,0.51,0.39,0.3,0.53,0.31,0.59,0.56,0.51,0.41, , , ,10.7143,11.5402,10.7599,10.9028,14.5326,15.4097,14.6391,17.7757,18.4079,16.0786,13.2422,12.204,8.5567, , , , ,5.5706,4.9322,5.1281,5.6349,5.6819,5.3166,4.9629,4.5393,4.7434,4.6552,4.9749,5.8517, , , , ,10.6509,9.5355,9.0789,-5.6403,-5.9823,-7.4621,-12.2893,-9.5359,8.7992,9.9543,9.6822,9.9816
COUP US Equity,COUPA SOFTWARE INC, , , , , , , , , , ,-0.36,-0.13,-0.2,-0.26,-0.21,-0.16, , , , , , , , , , , , , , , , , , , , , , , ,-24.1883, , , ,-7.2046, ,-20.6857,-22.7906,-7.3159, , , , , , , ,-6.2509,-12.3401,-15.3822,-61.0801,-66.699, , ,-22.2899,-21.1395
PMTS US Equity,CPI CARD GROUP INC,-0.7712,-0.0717,0.9239,-0.2,0.5,-0.05,0.35,-0.35,-0.4,-1,-0.3,-1.31,-0.65,-1.5,-0.55,-0.66, , , ,427.3823,28.8123,15.982,32.3883,24.9466, , , , , , , , , , , ,18.1972,20.599,15.952,11.1626,8.1342,3.7502,2.4665,0.1871,-5.1165,-6.1954,-4.3282,-3.6001,1.3714, , , , , , , ,-6.2706,-3.6249,-1.1594,2.458,6.5179, , , , 
CRSP US Equity,CRISPR THERAPEUTICS AG, , , , , , ,-2.77,0.43,-0.54,-0.56,-0.62,0,-0.62,-0.82,-1.07,-0.92, , , , , , , , , , , , , , , , , , , , , , , , , , ,-60.9899,-31.9709,-29.0419,-38.4752,-38.3763,-55.3932, , , , , , , ,-6.673,-10.5346,-33.8475,-27.3044,-20.3774,-29.745,-39.4192,-39.328,-56.8874
CRON CN Equity,CRONOS GROUP INC,-0.02,-0.02,-0.01,0.0532,-0.01,-0.04,0,0.0084,-0.01,0,0.01,0.0141,-0.01,0,-0.04,-0.0639, , , , , , , , , , , , , , , , , , , , ,-12.0375,-22.4268,-11.5052,-4.4093,-4.2943,-2.0774,-0.1267,-2.0964,-1.9226,-0.0113,-5.0612,-11.5525, , , , ,6.631,-5.4183,-1.9376,-6.749,-4.8695,-5.3766,-4.8548,-4.2483,2.5129,2.0366,-3.782,-12.737
CRWN CN Equity,CROWN CAPITAL PARTNERS INC, ,-0.13,0.05,0.1772,0.17,0.18,0.09,0.0921,0.18,0.19,0.12,0.2217,0.09,0.21,0.19,0.2466, , , , , ,270.1585,76.4305,204.3528,123.6011,30.1771,31.6657,18.6147,16.193,20.939,15.5492,19.9657, , , , , ,11.9249,7.4668,9.9712,13.2768,15.6143,17.1263,18.1385,16.8741,15.9449,20.4848,19.5001, , , ,4.0946,7.3213,10.7033,5.9427,-7.9758, , , ,-1.655,5.7312,5.8684,6.5471,6.7364
CNH CN Equity,CROWNIA HOLDINGS LTD,-0.033,-0.01,-0.01,0,-0.0393,-0.0134,0,-0.0213,0,-0.0133,0, ,-0.0125,0,0,-0.0335, , , , , , , , , , , , , , , , , , , , ,-62.186,-47.8415,-39.6246,-71.4054,-30.5254,-15.8826,-19.5006, , , , , , , , , ,-61.487,-47.6398,-39.5445,-8.0171,-1.187,-0.1637,-0.9188,0.1987, , , , 
CYRX US Equity,CRYOPORT INC,-0.6,-0.6,-0.36,-0.79,-0.26,-0.28,-0.14,-0.25,-0.1,-0.08,-0.08,-0.09,-0.1,-0.09,-0.07,-0.08, , , , , , , , , , , , , , , , ,-2401.1631,-1435.7103,-1213.7179,-664.3975,-329.0094,-285.2165,-369.7881,-275.6554,-90.7285,-81.8122,-75.6113, , , , , , , , , , , , ,-8.2124,-24.2891,-48.8314,-64.1872,-1.5523,-45.6509,-47.6718,-40.8944, 
CSAXQ US Equity,CSA HOLDINGS INC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-8.4102,-6.7365,-7.1955,3.4871,12.6105, , , , 
CURA CN Equity,CURALEAF HOLDINGS INC,-0.0807,-0.0813,-0.0204,-0.0544,0,0,0,-0.0232,0,0,0.472,-0.0487,-0.0237,-0.0465,-2.8553,-0.04, , , , , , , , , , ,0.471,0.7993,0.4783,0.6108, , , , , ,-158.079,-198.7275,-330.5003,-1450.0728,-128.5688,-151.3209,-191.4751,-2738.2996, ,-933.874,-2845.2549,-19.8434, , , , ,-157.648,-198.0942, , ,-8.8562,-10.0913,-3.9089,4.5236,22.0589,429.1719,460.6961, , 
CYBR US Equity,CYBERARK SOFTWARE LTD/ISRAEL,0.14,0.16,0.2,0.3,0.13,0.19,0.21,0.3,0.22,0.09,0.05,0.1,0.18,0.23,0.22,0.66,93.4666,111.2524,76.8169,60.4503,57.089,61.9469,63.2264,58.3333,58.1445,63.3197,63.5879,64.0597,82.8485,83.7392,81.477,55.6255, ,16.8614,12.6873,13.7024,12.7289,11.5654,11.1144,10.6701,10.7837,8.9222,6.7638,4.224,3.3222,4.8046,6.0984,10.6547, ,14.2193,11.8807,12.8431,12.4829,11.2614,10.8735,-9.0524,-11.5601,-11.6037,-11.4002,-9.8625,4.2251,5.4255,6.8384,11.4707
CBAY US Equity,CYMABAY THERAPEUTICS INC,-0.15,-0.09,-0.27,-0.2537,-0.29,-0.3,-0.25,-0.3,-0.2,-0.31,-0.21,-0.11,-0.32,-0.3,-0.314,-0.32, , , , , , , , , , , , , , , , ,-131.1888,-144.5879,-70.1397,-79.843,-89.0646,-110.7834,-80.4852,-103.5358,-94.0571,-141.0155,-45.4915,-45.3001,-28.4653,-41.4039,-40.3544,-55.4679,-163.1561,-171.0288,-74.7069,-74.0093,-99.9601,-155.1856,-117.5948,-9.1639,-10.3982,-11.5359,-12.5717,-15.9916,-35.4168,-47.492,-42.3413,-56.8191
CELP US Equity,CYPRESS ENERGY PARTNERS LP,0.2248,0.1791,-0.15,0.1,-0.0022,-0.34,0.28,0.2,-0.2389,0.12,0.13,0.26,0.06,0.25,0.3,0.13, , , ,12.3258,16.9011,11.0701,9.8098,10.2551,9.1999,14.0397,19.1406,14.0406,13.4215,15.8156,13.2958,13.4197,-6.8111,-7.74,-11.3493,4.545,1.4966,-6.4505,-3.939,-3.7469,-5.4125,2.5411,1.2086,1.7583,6.5647,9.5543,12.8667,12.9807,-25.9999,-28.2391,-37.38,7.9171,5.0946,-15.8192,1.7817,-9.3009,-4.4865,-14.1607,-95.1047,-74.7153,117.6562,142.1928,169.7383,144.0874
CTMX US Equity,CYTOMX THERAPEUTICS INC, , ,-14.2593,-0.39,-0.44,-0.39,-0.4,-0.3851,-0.23,-0.69,-0.28,0.0162,-0.4,-0.35,-0.53,-0.7142, , , , , , , , , , , , , , , , , , , , , ,-64.0601,-79.6077,-58.0163,-55.4348,-81.8607,-87.041,-60.4321,-85.5733,-90.3719,-54.4436,-84.6138, , , , , , , ,-10.1017,-16.8293,-20.7573,-21.0823,-17.8479,-81.5578,-82.609,-50.9501,-84.2757
DARE US Equity,DARE BIOSCIENCE INC,-4.1,-3.7,-3.9,-3.9,-4.9,-4,-0.02,-1.8036,-2.7,-5.4747,-0.33,0.281,-0.88,-0.32,-0.23,-0.2558, , , , , , , , , , , , , ,0.4104,0.3304, , , , , , , , , , , , , ,-83.8169,-159.7831, , , ,-49.7738,-65.3978, ,-117.0714,-97.1226,-93.3621,-10.3836,-9.8554,1.3403,-2.8268,-32.1405,-78.0339,-150.8501,-82.608, 
DRIO US Equity,DARIOHEALTH CORP,-1.44,-1.26,-0.9,-0.54,-0.4501,-0.49,-0.1535,-0.8929,-0.75,-0.43,-0.3, ,-0.2,-0.32,-0.17,-0.1548, , , , , , , , , , , , , , , , , , , , ,-269.8024,-942.6947,-602.9271, ,-254.5795,-333.1645,-306.3419, , , , , , , , , , , , ,-10.5793,-10.5733,-12.5746,-11.4341,-10.0925, , , , 
DMC/H CN Equity,DATAMINERS CAPITAL CORP,-0.05,0,0,-0.0287,0,0,-0.05,0.0059,0,-0.05,-0.01,-0.0158,-0.01,-0.01,-0.01,-0.0226, , , , , , , , , , , , , , , , ,-75.6602,-75.3038,-47.5685,-40.3986,-28.68,-30.7538,-48.7808,-27.9833,-30.743,-47.5676,-44.6116,-71.0554,-87.0822,-57.9091,-60.1751,-94.4381,-75.6602,-75.3038,-47.5685,-40.3986,-28.68,-30.7538,-48.7808,-10.6532,-12.5681,-10.3808,-10.4844,-11.9064,-87.0822,-57.9091,-60.1751,-94.4381
DW/H CN Equity,DATAWIND INC,-0.2019,-0.15,-0.09,-0.2184,-0.06,-0.09,-0.02,-0.0726,-0.05,-0.07,-0.53,-0.5672,-0.21,-0.2,-0.04,-0.2716, , , , , , , , , , , , , , , , , , , , ,-100.5951,-34.8126,-23.7282,-8.6225,-6.4669,-10.4785,-89.8953,-347.8304,-541.8356,-962.8842, , , , , , , ,-63.5638,-58.5333,-10.7431,-17.5746,-23.9431,-38.7938,-30.419, , , , 
PLAY US Equity,DAVE & BUSTER'S ENTERTAINMEN, , ,-0.13,0.37,0.49,0.31,0.11,0.55,0.75,0.51,0.26,0.65,1.02,0.73,0.3,0.88, , , , , ,34.4088,28.7087,23.7486,21.6829,23.6073,20.2498,25.8257,26.7973,23.2237,18.1072,17.871, , , ,7.1762, ,8.8082,9.6049,10.0506,11.4459,12.3146,13.0482,12.9579,14.7304,15.7705,15.9238,16.5946, , , ,3.7327, ,18.4443,18.1836,-10.9941,-17.6293,-25.0384,-20.7259,-30.3198,24.514,26.7363,26.6715,28.0918
DTEA US Equity,DAVIDSTEA INC, , , ,0.6595,-7.73,-2.73,-0.04,0.61,0.06,-0.09,-0.2,0.08,-0.01,-0.22,-0.25,-0.62, , , , , , , , , ,34.7209,31.69,96.9593, , , , , , , , , , , ,-32.3956,0.4583,11.0701,7.5657,-3.2222,-4.6941,-7.5324,-8.8521,-25.197, , , , , , , ,-11.6088,-8.8307,-9.8921,-10.7982,-14.0308,-4.1804,-6.8365,-8.2103,-24.275
DERM US Equity,DERMIRA INC,-0.57,-0.69,-0.58,-1.04,-0.95,-0.89,-0.72,-0.21,-0.79,-0.93,-4.3,-1.34,-1.42,-0.57,-1.58,-1.7, , , , , , , , , , , , , , , , , , ,-42.23,-46.2214,-61.6419,-52.2257,-48.5656,-41.6246,-32.3377,-22.1153,-69.8856,-89.104,-80.8819,-59.7893,-49.0318,-58.7134, , , ,-46.2457,-61.7175,-52.204,-48.4733,-11.6323,-5.7199,1.4461,7.7924,12.5561,-124.9626,-131.3264,-162.9162, 
GSD CN Equity,DEVONIAN HEALTH GROUP INC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-11.6327,-11.4525,-12.3422,-41.2353,-35.7188, , , , 
DRNA US Equity,DICERNA PHARMACEUTICALS INC,-0.79,-0.86,-0.82,-0.76,-0.76,-0.75,-0.68,-0.68,-0.68,-1.15,-0.92,-0.91,-0.3,-0.68,-0.35,-0.29, , , , , , , , , , , , , , , , ,-46.5536,-46.9957,-57.5582,-66.4982,-78.3117,-69.7399,-77.852,-90.2454,-108.4427, , , , ,-100.2177,-74.2565,-47.7834,-47.4148,-46.9223,-57.4561, ,-78.1619,-69.5827,-77.6637,-11.8084,-7.9433,-6.3497,-2.0895,-0.2154,-139.6367,-239.6769, ,-58.8861
DPWW US Equity,DIEGO PELLICER WORLDWIDE INC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-13.1416,-15.6995,-16.3501,-17.1442,-14.716, , , , 
